text,label
Enjoy 0% instalment for up to 12 months when ordering an Air Asia plane ticket with BNI Credit Card!,eng
The cakes give me massive nostalgia. Everything is old school. from the presentation to the taste. They're great and inexpensive,eng
Mom once worked for grab indonesia.,eng
"I love having lunch here the most, thanks to their delicious chicken and sambal, also the price is dirt cheap. The taste of the chicken just seeps to the bone, and the iced aloe vera drink is also fresh, perfect to cool off my stomach after eating the spicy sambal. The servers are swift and kind, and what I like is that in the cashier there's a writing that says 10% of the profit will be donated to charity, making the meal feel even better to my stomach.",eng
The DAMRI Bus service is really good,eng
Wanna make some posts with contents that educate Gojek customers.,eng
Hundreds of houses in Medan were submerged by the flood,eng
"The item's pretty good, but I'm confused. Is the ON button on the Xiaomi Redmi Note 2 kinda broken? And does the battery really drain this fast, boss? ",eng
Really hard to trust people who had betrayed us before,eng
"Located in Gombel with Semarang scenery, come at night because you can see the city lights. The great steak and warm tea are a must-try here. Take the outdoor spot because the air is cool and breezy.",eng
"One time we went here and ordered the fried rice and french fries. Everyone loved the fried rice. The fries were also really good, not to mention its beautiful presentation. My family said the coffee was great. The great things about this place were how spacious it was and how it is possible to enjoy Dusun Bambu's scenery outside. However, the service was so slow that I needed to ask multiple times about my order. It was also a bit pricey, but the food was so delicious it made it all worth it in the end. You won't have to think twice to try this place out.",eng
"The 35-thousand Thailand-style fried rice is bland, with only shredded chicken sparsely sprinkled in. And there's no seafood.",eng
"As we know, the original American brownies are baked cake that indeed has a brown color. Toko Amanda tried to be creative and made brownies by steaming them. And I have to say, these steamed brownies didn't do it for me. The texture was just the same as a regular sponge cake. So to me, these aren't brownies.",eng
"If you want to visit this restaurant, be sure to go on afternoon or night time, bring your spouse to enjoy romantic dinner and amazing scenery.",eng
"The first impression was memorable because after ordering I was surprised to see one of the staff bringing out banana leaves to our tables instead of plates or spoons. So if you wanna eat here, get ready to experience the unique sensation of eating food on top of banana leaves using your bare hands ",eng
