text,label
"namun , bhunten sadhajah paleksana bos oneng tentang atoran aneko serrena bhunten disosialisasikan kalaban bhagus",mad
"serrena kekurangpahaman sakolah , pabhajaran pajhek se epajuhaghi sakolah berbedabeda",mad
hal aneko adhaddhih serrena lopok sadhajah sakolah ghita oneng atoran kelaban tatah cara pabhajaran pajhek,mad
"e samping ghruwa , bannya jhughan sakolah se abhuwa senggha pabhajaran pajhek kalaban menyiasati nela otaba kuitansi pabhajaran",mad
bhuwa kasebbhut lakar cokop aonwtongaghi bagi sakolah,mad
dari niyap Rp1 jutah sakolah bhisa nyempen Rp15.000,mad
"e samping ghruwa , sakolah jhughan kengeng menghemat bekto , tenaga , kelaben bhandhah transportasi penyetoran pajhek",mad
Hal-hal se kodhu elaporaghi sareng paleksana e saniyap tingkatan paneka menangka angereng,mad
"Laporan penanganan dan pengaduan masyarakat , serta laporan monitoring dan evaluasi akan didiskusikan di sub-bab 2.6",mad
Subbab aneko coma membahas laporan penggunaan/pemanfaatan dhana bos,mad
laporan se eghabay sakolah ekerem dâ satker kabupaten/kota,mad
"Selanjut , satker kabupaten/kota aghabay laporan paleksanaan program untuk eserenaghi da satker provinsi",mad
"aherna , satker provinsi bala laporan da Satker Pusat",mad
"Alur palaporan e daerah-daerah sampel kajian aneko abak bervariasi , kelaban secara umum disajikan e ghambhar 2.4",mad
Namun bhangon laporan se epasareng dari lembaga penyalur bervariasi antarprovinsi,mad
"Berkaitan kalaban laporan paghunaan dhana bos , sakolah seren laporan da satker kabupaten/kota",mad
"e Provinsi Banten , salaen UPTD , kantor pos kacamatan jhughan kengeng afungsi menangka antara dhurung laporan kasebbhut",mad
Satker kabupaten/kota kodhu kerem laporan-laporan da satker provinsi,mad
Selanjut satker provinsi nyoson laporan paleksanaan program untuk ekeremaghi da Satker Pusat,mad
"Kanwil Depag jhughan nyoson laporan untuk eserenaghi da Departemen aghama , kelaban salen eserenaghi da satker provinsi",mad
"laporan kasebbhut kodhu eghennai RAPBS , fotokopi rekenning , laporan buku ekkas , sarta bukti-bukti bheddhal se essa",mad
"Untuk maseghel sakolah aghabay laporan , e dalem juklak alasta contoh-contoh format laporan",mad
kalaban badahna contohcontoh kasebbhut engarepaghi sakolah bhunten tebas kakebuan dalem nyoson laporan,mad
"e jhabah dhimor , NTB , kelaban Banten , satker provinsi pagghun bahwa sakolah kodhu aghabay laporan triwulanan",mad
"sareng serrena ghruwa , e jhabah dhimor misal , laporan dalem bhangon SPJ kodhu eghabay niyap bulan",mad
Kebijakan tentang bakto soson laporan aneko acangke kalaban bhritbhit pengucuran dhana e kaduwa provinsi kasebbhut,mad
"Menurut sabagiyan bessar sakolah , aghabay laporan rincian paghunaan dhana per jenis anggaran cokop rumit kelaban sita bakto",mad
Pembayaran tonjhangan ghuruh pagghun eoba adhaddhih bellin ATK,mad
brampan sakolah ngala inisiatif jalu satker kabupaten/kota untuk abadahaghi palatehan paghabayan laporan,mad
"e jhabah dhimor , Dinas Pendidikan kottah Pasuruan abadahaghi palatehan paghabayan SPJ se eleksanaaghi saabit tello areh",mad
"Selain ghruwa , satker kottah satempat jhughan lasta bakto konsultasi bagi sakolah antara centok 12.00-17.00",mad
"e daerah laen , satker kabupaten/kota manyatahaghi bahwa konsultasi kengeng epajuhaghi bila bisaos",mad
"Untuk mapajuhaghi konsultasi soson laporan kasebbhut sakolah kodhu konjem bhandhah , paleng bhunten untuk transportasi",mad
"sala settong salafiyah e Banten , misal , parlo bhandhah transportasi antara Rp50.000-Rp100.000 niyap mapajuhaghi konsultasi",mad
"e samping ghruwa , sakolah jhughan sambhat bannyana bakto se eparloaghi untuk nyoson laporan kasebbhut",mad
Mereka parlo lasta bakto untuk bolak-balik antara( 3-10 kale) da kantor dinas pendidikan untuk mabhagusaghi laporan,mad
"Untuk ghruwa , mereka seringkali kaelangan bakto istirahat serrena kodhu lakoh lembur otaba apaksah aghunaaghi bakto morok",mad
Namun badah sakolah se lapor coma eghabay sareng kapala sakolah tanpa melibatkan bendahara,mad
"Bila badah ghuruh se dilibatkan , biyasahna coma ghuruh se bertugas adhaddhih bendahara bos , dhineng ghuruh laenna bhunten dilibatkan",mad
"Komite sakolah se kodhu adhaddhih mitra sakolah  umumna bhunten dilibatkan dalem paghabayan laporan , ",mad
"coma badah brampan komite sakolah se kengeng mengakses laporan kasebbhut , namun jumlahna ce abates",mad
Mereka biyasahna komite sakolah se lakar aktif kunjung da sakolah,mad
"dha orangtua siswa , umumna pihak sakolah coma bala informasi nyamber badahna Program bos",mad
ghi jarang epangghii badahna sakolah se malaporaghi paghunaan dhanana secara rinci dha orangtua siswa,mad
tem SMERU coma mangghi duwa sakolah sampel se bala laporan secara abukka dha orangtua siswa,mad
Orangtua siswa terkesan a tidak pedulia kalaban orosan administrasi paghunaan dhana,mad
Mereka cenderung parcaja bahwa sakolah aghunaaghi dhanana kalaban bhender,mad
Monev internal epajuhaghi sareng jharjharan paleksana program sendiri,mad
"Monev internal aneko bertugas mapajuhaghi pemantauan kelaban supervisi , pabhinaan , kelaban cadhang masalah",mad
"Monitoring eksternal , dalem juklak program 2005 , eangghep menangka longkang dari paawasan",mad
"paghuruhan tegghih , DPR , BIN otaba tem independen khusus se edhuddhing pamarenta; 2",mad
"dewan pendidikan , LSM , BMPS , ghellem organisasi masyarakat/kependidikan laenna; 3",mad
"BPK , BPKP , inspektorat jenderal (Irjen) , kelaban aba Pengawasan Daerah (Bawasda) provinsi kelaban kabupaten/kota; 4",mad
