text,label
Sian Be Rp1 Juta Sikkola Boi Mangaradoti Rp15.000,bbc
"Alani kekurangpahaman Sikkola, Panggararan Balasting Na Dipadalan Sikkola Pinjil",bbc
"Hinorhonna, perlakuan Mangonai Tohap Ginjang Bunga Homitan tersebut Pinjil Taru Huta",bbc
"Alai, Ndada Luhut pelaksana Tokke Umboto Olap Ruhut On Alani Ndada disosialisasikan Dohot Denggan",bbc
Bongka On Manjadi Alani Giot Luhut Sikkola Ndangdope Umboto Ruhut Dohot Tutur Sara Panggararan Balasting,bbc
Boaboa Na Dibahen Sikkola Ditongos Tu satker Kabupaten/Kota,bbc
"I Lambung Ido, Sikkola Musem Dohar Mangirit Tingki, Gogo, Dohot Ongkos transportasi penyetoran Balasting",bbc
Bongka Na Ingkon Dialuhon Angkup pelaksana I tiap tingkatan Adongma Ansiatni Basa,bbc
"I Lambung Ido, Godang Musem Sikkola Na berupaya Pasidinghon Panggararan Balasting Dohot menyiasati Asam Manang Kuitansi Panggararan",bbc
"Ujungna, satker provinsi Pasahathon Boaboa Tu Satker Pusok",bbc
Alai Rumang Boaboa Na Didapot Sian Dalihan penyalur Marmansam antarprovinsi,bbc
"Boaboa penanganan Dohot Alualu Masarakat, Angkup Boaboa monitoring Dohot evaluasi Naeng didiskusikan I Turpuk Duapuluonom",bbc
Subbab On Holan Manguhal Boaboa penggunaan/pemanfaatan Hepeng Tokke,bbc
"Saudutna, satker Kabupaten/Kota Mambaen Boaboa pelaksanaan Ruhutruhut Di Disahaphon Tu satker provinsi",bbc
"Hombar Dohot Boaboa penggunaan Hepeng Tokke, Sikkola Mangalehon Boaboa Tu satker Kabupaten/Kota",bbc
Satker Kabupaten/Kota Saingkondo Manongoshon Boaboa laporan Tu satker provinsi,bbc
"Alur pelaporan I Huta sampel kajian On Tar Marmansam, Dohot Sasara Boa Diparade I Gombar Duapuluopat",bbc
Saudutna satker provinsi Mangatak Boaboa pelaksanaan Ruhutruhut Di Ditongoshon Tu Satker Pusok,bbc
"I Provinsi Banten, Angkupni UPTD, Kantor Pos kecamatan Musem Dohar Marguna Ansiatni Pangulu penyampaian Boaboa tersebut",bbc
"Kanwil Depag Musem Mangatak Boaboa Di Disahaphon Tu Departemen Ugamo, Dohot salinannya Disahaphon Tu satker provinsi",bbc
Dohot Adongdo contohcontoh tersebut Diparsinta Sikkola Ndada Mandalani Hagogotan Bagas Mangatak Boaboa,bbc
"Di Pamudahon Sikkola Mambaen Boaboa, I Bagas juklak Ture Tiruan format Boaboa",bbc
"Boaboa tersebut Ingkon dilengkapi RAPBS, fotokopi rekening, Boaboa Buku kas, Angkup Tanda Pangaluaran Na Ansi",bbc
Panggararan tunjangan Guru tetap Dipauba Jala pembelian ATK,bbc
"Angkup Alani Ido, I Jaua Purba Umpamana, Boaboa Bagas Rumang SPJ Ingkon Dibahen Be Bulan",bbc
"I Jaua Purba, NTB, Dohot Banten, satker provinsi Manontuhon Ima Sikkola Ingkon Mambaen Boaboa triwulanan",bbc
Pigapiga Sikkola Mangalap Tahi Mangido satker Kabupaten/Kota Di Patupahon pelatihan pembuatan Boaboa,bbc
"I Huta Asing, satker Kabupaten/Kota Manghajongjonghon Ima Manungkun Dohar Dipadalan Sadihari Ondeng",bbc
Habisukon Olap Tingki Panusunan Boaboa On Porot Dohot keterlambatan pengucuran Hepeng I Paduahon provinsi tersebut,bbc
"Angkupni Ido, satker Kota setempat Musem Patupahon Tingki Manungkun Sagi Sikkola Holangholang Pukul 12.00-17.00",bbc
"I Jaua Purba, Dinas Parsiajaran Kota Pasuruan Patupahon pelatihan pembuatan SPJ Na Dihangoluhon Saleleng Tolu Ari",bbc
"Di Padalanhon Manungkun Panusunan Boaboa tersebut Sikkola Ingkon Mangosari Ongkos, Timbil Ndada Di transportasi",bbc
Alai Isi Sikkola Na laporannya Holan Dibahen Angkup Ulu Sikkola Sopola melibatkan Sitioppuro,bbc
"I Lambung Ido, Sikkola Musem Moingoing Godangna Tingki Na Dihaporluhon Di Mangatak Boaboa tersebut",bbc
"Sala Sada salafiyah I Banten, Umpamana, Mamorluhon Ongkos transportasi Holangholang Rp50.000-Rp100.000 Be Padalanhon Manungkun",bbc
"Di Ido, Nasida seringkali Hamagoan Tingki Maradi Alani Ingkon Karejo lembur Manang Tarabuk Mamangke Tingki Mangajar",bbc
"Komite Sikkola Na Saingkondo Jala mitra Sikkola Pe umumnya Ndada dilibatkan Bagas pembuatan Boaboa ,",bbc
"Holan Isi Pigapiga komite Sikkola Na Dohar mengakses Boaboa tersebut, Alai Lonsamna Sai Hapalang",bbc
Nasida Somalna komite Sikkola Na Laos aktif Mebat Tu Sikkola,bbc
"Nandigan Isi Guru Na dilibatkan, Somalna Holan Guru Na Marsiulaon Jala Sitioppuro Tokke, Gari Guru Habalian Ndada dilibatkan",bbc
Nasida Sundung Porsea Ima Sikkola Mamangke dananya Dohot Sintong,bbc
"Tu orangtua Anaksikkola, umumnya Dingkan Sikkola Holan Pasahathon informasi Mangonai Adongdo Ruhutruhut Tokke",bbc
Nari Rio Dijumpangi Adongdo Sikkola Na Mangaluhon penggunaan dananya Sasara rinci Tu orangtua Anaksikkola,bbc
Monev internal Dipadalan Angkup Barisan pelaksana Ruhutruhut Sadasa,bbc
Orangtua Anaksikkola terkesan tidak peduli Dohot Ardoan administrasi penggunaan Hepeng,bbc
"Monitoring eksternal, Bagas juklak Ruhutruhut 2005, Pinahamat Ansiatni Jambar Sian Pangiringon",bbc
"Deuan Parsiajaran, LSM, BMPS, Olope Dalihan Masarakat/kependidikan Habalian Tolu",bbc
Tim SMERU Holan Manjumpanghon Dua Sikkola sampel Na Pasahathon Boaboa Sasara Mungkap Tu orangtua Anaksikkola,bbc
"Parguruan Timbo, DPR, BIN Manang tim independen Sudung Na Tinodo Pamarenta Dua",bbc
"Monev internal On Marsiulaon Padalanhon Gopgopan Dohot supervisi, Panogunoguon, Dohot Pansidungi Hasuharan",bbc
Ndangdope Luhut Huta Mangulahon kegiatan monev internal Sasara Sudung,bbc
"Rambar unit Alualu Masarakat Na Tardapot I Sikkola/madrasah, Kabupaten/Kota, provinsi Dohot Pusok",bbc
Habagakon pelaksanaan monev internal Nari dipertanyakan Dohot Lobi terkesan Dihangoluhon Ansiatni formalitas,bbc
Monitoring Dipadalan Marhitehite UPTD Dohot melibatkan Paniroi,bbc
"I Kabupaten Tapanuli Utara, kuesioner Dipararat Tu Luhut Sikkola Marhitehite UPTD Parsiajaran",bbc
"Monev internal Nari Hurang memadai, Gari monev eksternal Dipunten Angkup Godang Dingkan Nari Hurang Tulbas",bbc
I Kota Pasuruan kegiatan monev Tar Lobi Pandebagas,bbc
Aganpe I Pigapiga Huta Karejo Sarupa kegiatan monev Holangholang staf Dinas Parsiajaran Dohot Kandepag Mardalan Denggan,bbc
"Alani Marmansam faktor tersebut, Sasara Boa kegiatan monev internal Pinahamat Hurang memadai",bbc
"Ris Godang Dalihan Na Sasara Mamintor Mangumbol Sikkola sekolah Sopola Pamotoan satker, Ndada Patiar laporannya",bbc
Bongka On Manubuhon Pangiburuon Dohot rumor Olap ketidaktransparanan Barisan Kandepag Bagas pengelolaan Hepeng monev,bbc
"Sasara Mamintor BPKP Padalanhon audit Dohot difasilitasi Angkup satker provinsi, satker Kabupaten/Kota",bbc
Omo pengawasannya Musem Ndada Dipabotohon Manang Dialuhon Tu satker I Tingkat manapun Musem,bbc
Bortik On umumnya Marasal Sian Masarakat Dohot Guru,bbc
Holan I Mapenda Kanwil Depag Provinsi Jaua Purba Isi Suratpartadingan Boaboa Alualu,bbc
"Sasara Boa, Parkaro penyampaian Dohot penanganan Alualu Dohar Salin Jala Tolu Horong, Ima",bbc
I Godang Sikkola Musem Ndada Tarbereng Adongdo Poti aduan,bbc
Isedo Na Marhuaso Di Padalanhon investigasi Nandigan Alualu tersebut Porot Dohot kinerja pelaksana Ruhutruhut,bbc
Alai Marmansam Tarida Na Haluluan I Adaran Paullophon Hurang efisiennya sistem monitoring eksternal Na Naung Mardalan,bbc
"Nang reaksinya Hatop Dohot Mamintor, Alualu Dohot Parkaro Pansidungi Samansam On Ndada didokumentasikan Dohot Denggan",bbc
Alai Bagas kajian On Ndada Haluluan Adongdo catatan Dohot dokumentasi Alualu Na Hea Dipahimpu Sikkola sekolah sampel,bbc
"Marhitehite siaran pers, Haadongan Rambar On Diandarhon Tu Masarakat, Pungu Dohot Nomor Talipon Na Dohar diakses",bbc
"Dalihan Na Mampuna kewenangan Na Ris Jogi Adongma unsur-unsur Pangiringon, Tudos Bawasda, Irjen Dohot DPRD",bbc
Dalihan Na berperanserta Bagas monev eksternal tersebut terbilang Timbil aktif Dohot reaktif Maradophon aduan Na Dijangkon,bbc
"Jogi Panagaman, minimnya respons instansi Porot tersebut Horhon tidakjelasnya Dohoti Pangiringon eksternal",bbc
Alai Bagas Hanataanna Nasida Sundung Markarejo Sadasa,bbc
"Alai, Sondot Nuaeng Ndangdope Isi Angkal Lalus Udut Ginjang Arsak tersebut",bbc
Instansi Porot Ndada Mampuna Toktok Di menindaklanjuti aduan Na Pinasahat LSM Dohot media lokal,bbc
"Aganan Alai, sistem Na Ndangdope terkoordinir Dohot Denggan On Sai Ndada Manghangkung penanganan Alualu Sasara memadai",bbc
Dinas Parsiajaran Ansiatni Hapala satker Sundung mendominasi aktivitas pengelolaan Ruhutruhut Tokke,bbc
Indikasi On Dohar Ditatap Sian Godangna Ruas Masarakat Dohot Guru Na Mangaluhon Hasuharan pengelolaan Hepeng Tokke Tu LSM,bbc
"Angkupni Hagogotan mengakses Rambar Alualu Sintuhu, Tingkat Haporseaon Masarakat Maradophon Rambar internal Sundung Otik",bbc
"Hinorhonna, komite Sikkola Holan Jala stempel Sian Guna Batangan Sikkola",bbc
"UPTD, khususnya I Huta Kabupaten Mandohoti I Giot Luhut tahapan Ruhutruhut",bbc
I Pigapiga Huta Musem Haluluan Adongdo personel Na Dipunten Ndada kompeten,bbc
Dominasi Ido Tarhilala Sondot Tu Sikkola Dohot madrasah Ala Bagas pelaksanaannya satker Godang Mamparhaseanghon UPTD,bbc
"Gari, I Pigapiga Sikkola Partikulir Na Jala sampel kajian On Ndangdope Ditompa komite Sikkola",bbc
Perkecualian Dohoti Deuan Parsiajaran Haluluan I Kabupaten Tapanuli Utara Dohot Kabupaten Minahasa Utara,bbc
Luhut kegiatan On dibiayai Sian Hepeng operasional Deuan Parsiajaran Na Didapot Sian Depdiknas,bbc
Marhitehite mekanisme On Pamarenta Pusok Mangalehon pelaksanaan Ruhutruhut Tu Pamarenta provinsi,bbc
Di Patuginjang koordinasi Dohot pertanggungjawaban I Tingkat Huta,bbc
"Juarabagas BP3 Holan terdiri Sian orangtua Anaksikkola, Santokin komite Sikkola terdiri Sian orangtua Anaksikkola Dohot Masarakat Habalian",bbc
"Angkup Alana, pertanggungjawaban Bagas Rumang Boaboa Pudi Holan Dibahen Angkup satker provinsi Dohot Satker Pusok",bbc
Bongka Samansam On merupakan Hasuharan Na Somal Manjadi Dohot Ruhutruhut program Na Dihangoluhon Marhitehite mekanisme dekonsentrasi,bbc
Persepsi tersebut Dihurak Bagas Marmansam Marsirarion Horong Tarpaodong Na Dipatupa I Luhut Kabupaten/Kota sampel,bbc
"Sagi Sikkola Na Lonsam siswanya Godang, Asam peningkatan Panjaloon tersebut Ris signifikan",bbc
Tingkat Hamubaon Panjaloon Sikkola Dungkon Adongdo Tokke Marmansam antarsekolah,bbc
"Aganan Alai, Sian Marmansam Hanataan Na Haluluan Bagas kajian Hatop On Dohar Ditandai indikasi-indikasi Panghorhon Ruhutruhut",bbc
Santokin Ido Panjaloon Sabiji Sikkola I Cilegon Aran Lambung Sampululima,bbc
Peningkatan Panjaloon Boi Lobi Balga Alani Ndangdope Tontu Luhut Sisean Manggarar Gugu Anaksikkola Di periode-periode Andorangsona,bbc
"Indikasi peningkatan Habagakon Parsiajaran tersebut, Holangholang Asing Tarbereng Sian",bbc
"I Holangholang Sikkola sekolah sampel, Holan Isi Sada Sikkola SMP I Kota Cilegon Na Panjaloonna Aran Dungkon Adongdo Tokke",bbc
Lonsam Sikkola sampel Marbingkas Hamubaon Horong Panjaloon Tagan Dohot Dung Manjalo Tokke Diparade Bagas Tabel Duapulupitu,bbc
"Dohot meningkatnya Panjaloon Sikkola Dungkon Mandohar Tokke, Pangaluaran Sikkola Di Ongkos operasional Pe umumnya Manimbuknimbuk",bbc
"Dohot peningkatan Panjaloon On, Isi indikasi Ima Bonar Mangajar Guru Manimbuknimbuk",bbc
Peningkatan intensitas kegiatan-kegiatan Na Hombar Dohot peningkatan Habagakon Guru Tudos MGMP Dohot KKG,bbc
"Angkup Alana, kegiatan Marsiajar Jala Sai Mandosdos",bbc
Somalna Sian Gugu Anaksikkola Na Tais Lobi Metmet Ondeng Nasida Taruli alokasi,bbc
"SD/Mi Na Mandalani peningkatan Adongma Sampuluualu Sikkola Manang Lambung Siapulu, Gari SMP/MTs Holan Ualu Sikkola Manang Lambung 66, 7%",bbc
"Alai, Porlu dicatat Ima Panghorhon kegiatan tersebut Naeng maksimal Nandigan Habagakon kegiatan tersebut Dohar Dianggapi",bbc
Peningkatan intensitas Dohot Ragam kegiatan ekstrakurikuler,bbc
"Alai, peningkatan Habagakon kegiatan Marsiajar On tentunya Porlu Diolophon Dohot peningkatan Dinatolap Guru",bbc
"Dohot peningkatan sarana bahan Tutur, Guru Jala Lobi Girgir Dohot Jalang Bagas menerapkan Marmansam teknik Mangajar",bbc
Giot Luhut Sikkola Mambaen alokasi Na Ris Godang Di Panuhoran Buku,bbc
"I Pigapiga Sikkola Pogos, peningkatan On Sai Tarhilala Alani Dohot Ongkos operasional Na Sai Otik Tagan Adongdo Tokke",bbc
"Alai, Pigapiga Dinas Parsiajaran Manghajongjonghon Adongdo indikasi Panghorhon positif Sian Ruhutruhut On",bbc
"Peningkatan koleksi Buku I Sikkola, Denggan Buku Tiopan Di Guru Olope bukubuku Parsiajaran Bona Dohot Buku Parsiajaran Angkup",bbc
Koleksi Buku Parpustahaan Sai Otik Alani Panuhoran Buku Ris Mambobani orangtua Sisean Dohot Adongdo insentif rabat Panuhoran,bbc
"Aganan Alai, umumnya Ni pemangku Guna I Kota Mangalehon Pamuntenan Na relatif Tar Hetek",bbc
"Gari, Dua Pamarenta Kota Marroha Di Patuginjang anggaran pendidikannya",bbc
Tentunya Bongka On Manghorhon Di penurunan Ongkos Parsiajaran Na Ingkon Dipabali Angkup orangtua Anaksikkola,bbc
Peningkatan APK On disinyalir Manjadi Alani peningkatan Mandohoti Parsiajaran I Pigapiga Huta Hutahuta,bbc
"Angkup Ala Ido, Sikkola Sundung Ndada Padalanhon Angkal upaya Sudung Di Mangontapi Gotap Sikkola",bbc
"Aganan Ndada Isi Manangkasion Ojak Sian perusahaan tersebut, Sundur Bongka On Musem Diela Angkup Adongdo Hepeng Tokke",bbc
"Alai I Dua Kota sampel Habalian, Tardapot indikasi Ima alokasi APBD I Bolak Parsiajaran Naeng Diorui",bbc
Pigapiga Tiruan Ruhutruhut pemda Kabupaten/Kota Na Dipapas Dohot Ruhutruhut Tokke Holangholang Asing Adongma,bbc
"Angkupni Ido, pemkot Musem Mangalehon Tumpak Guru Sabalga Rp50.000 per Guru per Bulan",bbc
