text,label
"Nanging, ora kabeh implementasi BOS ngerti babagan aturan kasebut amarga ora nduweni sosialisasi",jav
"Amarga kekurangan pangerten sekolah, pembayaran pajak sing digawe dening sekolah beda-beda",jav
Iki kedadeyan amarga meh kabeh sekolah ora ngerti aturan lan prosedur kanggo mbayar pajak,jav
"Kajaba iku, akeh sekolah uga nyoba supaya ora mbayar pajeg kanthi ngurusi nilai utawa kuitansi pembayaran",jav
Upaya kuwi memang cukup kanggo sekolah,jav
"Saka saben Rp1 yuta, sekolah bisa nyimpen Rp15.000",jav
"Kajaba iku, sekolah uga bisa ngirit wektu, energi, lan biaya transportasi kanggo simpane pajak",jav
Bab-bab sing kudu dilapurake dening eksekutor ing saben tingkat kaya ing ngisor iki,jav
"Laporan ing penanganan masyarakat lan keluhan, uga laporan pemantau lan evaluasi bakal dibahas ing bagean 2.6",jav
Bab iki mung mbahas laporan babagan pemanfaatan / pemanfaatan dana BOS,jav
Laporan sing digawe dening sekolah dikirim menyang satker kabupaten / kota,jav
"Salajengipun, laporan satker kabupaten / kota babagan implementasine program kasebut bakal dikirim menyang satria provinsi",jav
"Pungkasan, satria provinsi ngirimake laporan menyang Satker Pusat",jav
"Aliran pelaporan ing area sampel saka panliten iki beda-beda, lan sacara umum ditampilake ing Gambar 2.4",jav
"Nanging, wujud laporan saka lembaga penyaluran beda-beda antarane propinsi",jav
"Ing babagan laporan babagan panggunaan dana BOS, sekolah ngirim laporan menyang satker kabupaten / kota",jav
"Ing Provinsi Banten, saliyane UPTD, kantor pos sub-distrik uga bisa dianggo minangka perantara kanggo ngirim laporan",jav
Satker kabupaten / kota ngirim ngirim laporan menyang satria provinsi,jav
Banjur satker provinsi nyiapake laporan babagan implementasine program sing dikirim menyang Satker Pusat,jav
"Kantor Wilayah Kementerian Agama uga nyiapake laporan sing kudu diajukake menyang Kementerian Agama, lan salinan kasebut dikirim menyang satker provinsi",jav
"Laporan kasebut kudu rampung karo RAPBS, fotokopi akun, laporan buku awis, lan bukti sah saka pengeluaran",jav
"Kanggo nggawe luwih gampang sekolah nggawe laporan, ana conto format laporan ing pedoman operasional",jav
"Kanthi conto kasebut, dikarepake sekolah ora bakal nandhang kesulitan kanggo nyusun laporan",jav
"Ing Jawa Wétan, NTB, lan Banten, satker provinsi nemtokake sekolah kudu nglaporake saben wulan",jav
"Mulane, ing Jawa Timur, contone, laporan ing wangun SPJ kudu digawe saben sasi",jav
Kawicaksanan babagan wekdal nyepakaké laporan iki ana hubungane karo ditundha dana sing disbursing ing rong propinsi kasebut,jav
"Miturut pira-pira sekolah, nglaporake babagan pemanfaatan dana saben jinis anggaran cukup rumit lan akeh wektu",jav
Sawetara sekolah njupuk inisiatif kanggo nyuwun satker kabupaten / kota kanggo nyelenggara latihan nggawe laporan,jav
"Ing Jawa Timur, Kantor Pendidikan Kutha Pasuruan nindakaké latihan babagan nggawé SPJ sing dianakaké telung dina",jav
"Kajaba iku, satker kutha lokal uga menehi wektu konsultasi kanggo sekolah antara jam 12.00-17.00",jav
"Ing wilayah liyane, satker kabupaten / kota nyatakake yen konsultasi bisa wae ditindakake",jav
"Kanggo nganakake konsultasi kanggo nyiapake laporan iki, sekolah kudu mbayar, paling ora kanggo transportasi",jav
"Salah siji salafiyah ing Banten, contone, mbutuhake biaya transportasi antarane Rp 50.000 lan Rp 100.000 saben konsultasi",jav
"Kajaba iku, sekolah uga ngeluh babagan jumlah wektu sing dibutuhake kanggo nyiapake laporan kasebut",jav
Dheweke kudu ngenteni wektu maneh (antara 3-10 kaping) menyang kantor pendidikan kanggo nambah laporan,jav
"Mulane, dheweke kerep ilang wektu kanggo istirahat amarga kudu bisa luwih cepet utawa bisa nggunakake waktu ngajar",jav
Nanging ana sekolah sing laporan mung digawe dening principal tanpa nglibatake bendahara,jav
"Yen ana guru sing terlibat, biasane mung guru sing tanggung jawab bendahara BOS, dene guru liyane ora terlibat",jav
"Komite sekolah sing mesthine minangka mitra sekolah umum ora melu nggawe laporan,",jav
"Mung sawetara komite sekolah bisa ngakses laporan kasebut, nanging nomer kasebut winates banget",jav
Padha biasane sekolah komite sing aktif ngunjungi sekolah,jav
"Kanggo wong tuwa siswa, sekolah mung menehi informasi babagan anané Program BOS",jav
Ana uga jarang sekolah sing nglaporake panggunaan dana kanthi rinci kanggo wong tuwa siswa,jav
Tim SMERU mung nemokake sekolah sampel sing nyatakake laporan kanthi terang-terangan marang para siswa,jav
Para siswa sing pinter ora seneng karo masalah administrasi dana,jav
Dheweke seneng percaya yen sekolah nggunakake dana sing bener,jav
Pemantauan lan evaluasi internal ditindakake dening jajaran program dhewe,jav
"Monev internal iki ditugasake kanggo ngawasi lan ngawasi, panuntun dhumateng, lan pemecahan masalah",jav
"Pengawasan njaba, ing pedoman operasional taun 2005, dianggep minangka bagean pengawasan",jav
"guron inggil , DPR , BIN utawi tim independen khusus ingkang dipuntunjuk pamerentah; 2 ",jav
"dewan pamucalan , LSM , BMPS , kersaa organisasimasyarakat/kependidikan bentenipun; 3 ",jav
"BPK , BPKP , inspektorat jenderal (Irjen) , uga badan Pengawasan Daerah ",jav
"Unit-unit panggigatan masyarakat ingkang enten ing sekolah/madrasah , kabupaten/kitha , provinsi uga puser ",jav
"Monev internal taksih kirang ngenteni , sawegaken moneveksternal dipunaos dening kathah pihak taksih kirang efektif ",jav
kwalitas pamontenan monev internal taksih dipuntakenakenaken uga langkung terkesan dipunwontenaken dados formalitas ,jav
dereng sedaya daerah nglampahi kengungkukan monev internalsacara khusus ,jav
"ing Kabupaten Lebak , kuesioner dipundhawahaken datheng sekolah-sekolah sampel langkung UPTD pamucalan uga jajaranKandepag ing kecamatan ",jav
