text,label
"Nanging ,henteu sadaya pelaksana BOS terang ngeunaan aturan ieu margi henteu disosialisasikeun kalawan sae",sun
"Margi kekurangpahaman sakola ,pamayaran pajeg anu dipigawe sakola teu sarua",sun
Perkawis ieu lumangsung margi ampir sadaya sakola tacan terang aturan sarta tata cara pamayaran pajeg,sun
"Di sinjang eta ,seueur oge sakola anu narekahan menghindari pamayaran pajeg kalawan menyiasati peunteun atawa kuitansi pamayaran",sun
Usaha kasebat saleresna cekap nguntungkeun kanggo sakola,sun
Ti saban Rp1 juta sakola tiasa nunda Rp15.000,sun
"Di sinjang eta ,sakola oge tiasa menghemat wanci ,tanagi ,sarta waragad transportasi penyetoran pajeg",sun
Perkawis-perkawis anu kedah dilaporkeun ku pelaksana di saban tingkatan nyaeta minangka katut,sun
"Laporan penanganan sarta pengaduan balarea ,sarta laporan monitoring sarta evaluasi bade dibadamikeun di sub-bab 2.6",sun
Subbab ieu ngan ngabahas laporan penggunaan/pemanfaatan dana BOS,sun
Laporan anu didamel sakola dikirim ka satker kabupaten/kota,sun
"Selanjutnya ,satker kabupaten/kota midamel laporan palaksanaan program kanggo dibikeun ka satker propinsi",sun
"Ahirna ,satker propinsi nepikeun laporan ka Satker Pusat",sun
"Alur pelaporan di wewengkon-wewengkon sampel kajian ieu rada variatif ,sarta sacara umum disajikeun di Gambar 2.4",sun
Nanging wangun laporan anu ditampa ti lembaga penyalur variatif antarprovinsi,sun
"patali jeung laporan pamakean dana BOS ,sakola mikeun laporan ka satker kabupaten/kota",sun
"Di Propinsi Banten ,jabi UPTD ,kantor pos kacamatan oge tiasa boga fungsi minangka panengah penyampaian laporan kasebat",sun
Satker kabupaten/kota sakedahna ngirimkeun laporan-laporan ka satker propinsi,sun
Selanjutnya satker propinsi nyusun laporan palaksanaan program kanggo dikirimkeun ka Satker Pusat,sun
"Kanwil Depag oge nyusun laporan kanggo dibikeun ka Departemen Ageman ,sarta salinan na dibikeun ka satker propinsi",sun
"Laporan kasebat kedah dilengkepan RAPBS ,fotokopi rekening ,laporan buku kas ,sarta buktos-buktos pengeluaran anu sah",sun
"Kanggo mempermudah sakola midamel laporan ,di jero juklak sadia conto-conto format laporan",sun
Kalawan kitu kaayaanana conto conto kasebat dipambrih sakola henteu ngalaman kahese dina nyusun laporan,sun
"Di Jawa Wetan ,NTB ,sarta Banten ,satker propinsi netepkeun yen sakola kedah midamel laporan triwulanan",sun
"Ku margi eta ,di Jawa Wetan contona ,laporan dina wangun SPJ kedah didamel saban sasih",sun
Kawijakan ngeunaan wanci penyusunan laporan ieu patali jeung keterlambatan pengucuran dana di kadua propinsi kasebat,sun
"Nurutkeun kalolobaan sakola ,midamel laporan rincian pamakean dana per rupi anggaran cekap rumit sarta menyita wanci",sun
Pamayaran tunjangan guru angger dirobah barobah kaayaan pembelian ATK,sun
Sababaraha sakola nyokot alpukah neda satker kabupaten/kota kanggo ngayakeun palatihan pembuatan laporan,sun
"Di Jawa Wetan ,Dines Atikan Dayeuh Pasuruan ngayakeun palatihan pembuatan SPJ anu dilaksanakeun salila tilu dinten",sun
"sajaba ti eta ,satker dayeuh satempat oge nyadiakeun wanci konsultasi kanggo sakola antawis babuk 12.00-17.00",sun
"Di wewengkon sanes ,satker kabupaten/kota nyatakeun yen konsultasi tiasa dipigawe iraha wae",sun
"Kanggo ngalakukeun konsultasi penyusunan laporan kasebat sakola kedah kaluron waragad ,sahenteuna kanggo transportasi",sun
"salah sahiji salafiyah di Banten ,contona ,meryogikeun waragad transportasi antawis Rp50.000-Rp100.000 saban ngalakukeun konsultasi",sun
"Di sinjang eta ,sakola oge mengeluhkeun lobana wanci anu diperlukeun kanggo nyusun laporan kasebat",sun
Maranehanana peryogi nyadiakeun wanci kanggo bolak-wangsul (antawis 3-10 kali) ka kantor dines atikan kanggo ngalereskeun laporan,sun
"ku kituna ,maranehanana remen oge kaleungitan wanci reureuh margi kedah damel lembur atawa kapaksa ngagunakeun wanci ngawulang",sun
Nanging aya sakola anu laporanana ngan didamel ku hulu sakola tanpa melibatkeun bendahara,sun
