label,text
bbc,"Ido umbahen mansai rikkot mambahen sada partanda di toilet na adong di inganan umum asa unang gabe sala masuk annon jolma. Molo nunga dibereng disi borua manang baoa, nunga botoona be mamereng ingananna. Saonari na so adong do dibahen gabe lomo-lomo ni jolma i. Ikkon porlu do dibahen sada inganan ni borua, sada inganan di baoa, unang gabe lak dipasarupa torus. Gabe porlu ma taparrohaon sude nai, manang idia pe hita maringanan, adong tabereng naso adong dope partanda na, boi ma tadokkon tu nampunasa inganan i asa dibahen mamereng rikkotna. Tarlumobi tu akka na nunga matua, asa boi takkas dibereng."
bbc,"Natuari, tepatna saat classmeeting gabungan au maligin sala sada murid SD tardege kotoran anjing. Kebetulan kotoran i masih basah, ampe lokot dan manempel dohot indah di telapak sepatu sang murid .Sontak sajo muko Delia rara dan manutup wajahna dohot kadua tangan sembari marjinjit. Sesekali ia mangintip bekas kotoran anjing na lokot di sepatu dia, kemudian langsung maneriaki au: Bapaaaak! Mata murid-murid lain langsung tartuju pada Delia seraya mikim dan adong pula na tertawa tarbahak-bahak. Beruntungna, sosok Delia adongma murid na inda momo tangis. Bahkan ia inda manutup hidung harana jijik. Langsung sajo au minta ia marlojong tu toilet dan mambasuh bekas kotoran i.Barangkali kotoran itu hanya lokot di sepatu, hingga Delia merasa itu bukanlah suatu bencana na sangat bombastis. Ia pun segera malanjutkon aktivitas classmeeting dohot ceria dan langsung malupahon kejadian na marupahonn bencana bagi sebagian halak.Bencana? Lain halak lain sikap. Ya, walaupun sekadar urusan pijak-mamijak kotoran hewan agakna i manimbulkon sikap unik tarsendiri.Contoh lain, misalkon adong halak na tardege kotoran manuk na masih milas. Kali i ia inda pake solop, sepatu, maupun alas pat na lainna. Bagaimana kira-kira ekspresina Tarlobih dahulu ia akan merasakan hawa-hawa kehangatan di telapak pat sembari manduga adong hal aneh na manimpana. Setelah diligin, oh ternyata te ni manuk! Hahaha. Mulailah ia maligin dohot tatapan jijik. Manjalaki aek? Bagaimana anggo di saat i aek inda adong?Sekonyong-konyong manjalaki bulung, kemudian digosoklah te i. Atau? manjalaki hayu, mandonok tu dinding, lalu mangelap di sandun. Anggo iseng, sesekali halak akan mancium pat atau tanganna. Entah i sekadar giot mamastihon bau te, atau malah malungun dohot bau aromatik tersebut? Hahaha"
bbc,"Termor sanga pe mitir ima gorakan na mitir na tarjadi secara marulang inda di sangajo. Tremor biasana tarjadi di tangan rap dohot di ulu tai bisa juo do i tarjadi di bagian ni pamatang na lain songon di pat, butua, rap dohot di pita suara. Bope umumna inda mangancam nyawa, tai tremor on bisa do i mangganggu aktivitas ni hita satiop hari. Halak na mangalami tremor maol do i mangalakuon aktivitas sanga pe pangkarejoon songon maol molo giot mangalakuon manulis, mardalan, manyulang panganon sampe maol manggolom barang. Tremor on disebabkon do i harana adong gangguan di area otak na marfungsi mangatur pargorakan otot, tremor on bisa do i tarjadi bope inda adong penyebab na jolas, tai jot-jot do i kondisi on marupaon gejala sian panyakit."
bbc,"Hari Minggu Palma manang ditanda ima Hari Minggu Palam Mangenang Sengsara Tuhan ima ari parningotan dibagas liturgi Gereja Kristeb, tarlumobi Gareja Katolik Roma. Ulaon on diulahon di ari Minggu tagan Paskah. Parningotan on marujuk tu masa na dicatat di opat injil, ima Markus :-, Lukas : -, Matius : -, dohot Yohanes : -. Parningotan on dikenang ima sada na masa tingki Yesus masuk tu Kota Yerusalem jala dielu-elohon godang jolma. Yesus masuk tu Kota Yerusalem ima hal na istimewa ala Ibana masuk tu kota na suci tagan so digosa, mate, jala mulak magolu sian hamatean. Minggu Palma disimbolhon pahe daun palem na mararti hamonangan."
bbc,"Isaac Newton ima salah sada halak fisikawan, matematikawan, na ahli asttonomi, filsuf alam rap teolog na marasal sian inggris. Isaac Newton on marupaon heliosentris rap ilmuwan na sangat marpangaruh saginjang sejahar ilmu fisika. Panomuan na potting sian sosok Isaac Newton ima dasar teori munculna teori gaya gravitasi. Isaac Newton lahir  Januari  rap maninggal di tanggal  Maret . Isaac Newton manguasai jabatan na targinjang sebagai profesor Matematika Lucasian di Universitas Cambridge di Inggris, peran na sama habis i diisi, marabad-abad kamudian, oleh Stephen Hawking. Newton manyusun beberapa hukum gorak, beberapa prinsip matematika na paling marpangaruh sampe sannari on."
bbc,"Satiop adong paket na ro tu bagas ku, petugas na pataruon paket nai inda do jungada deges cara nia mangalehen paket i. Dor do di ambukkon ia paket nai tu jolo ni pintu bagas ku. Di ramban ia paket na i sian luar ni pagar i. kadang madung hancur isi ni paket ku i harana na di ramban kon tukang paket i. Pas do waktu i sangajo au mamette kurir nai di jolo ni bagas ku, pas ro ia, hu dokon tu sia molo pataruon paket ulang asal di ramban kon sajo paket nai. Harana hu dokkon songoni tu sia, mulai sian i inda be jungada ia mangaramban kon paket na di pataru ia tu bagas.  "
bbc,"Adekhu marjarak  taon sian ahu. Saonari ibana nungga muli jala puna sada gellng. . Posisi siadopanna ndang karejo ala di PHK sapihak ala karejona ndang denggan. Songon ahu kakakna aso hian do rohangku mamereng ibana lamu ma muse keponakanhu na manusu jala pahe popok. Jotjot do hu tongos sipanganon, mangirim hepeng, popok, susu. Adekhu manali hepeng  juta dibagas tingki  menit pintor hu kirim nata pe ndang adong jaminanna. Ndang leleng on dope tompu gellengna kejang jala di boan tu RS. Tingki i adek iparhu mandok ndang adong maniop hepeng jala naeng manali hepeng jo. Hu lehon sopola marsyarat. Ari i ma tong ponakanhu pinda rumah sakit pahe hepenghu."
bbc,"Mar angkuta umum ma si Jogi tu sikkola, alana dao do ibana molo lao tu sikkola ndang boi molo mardalan pat. Nakkok ma ibana tu mobil on, hape pajumpang ma ibana dohot akka donganna nunga adong na dibagasan mobil i. Lalap ma halaki makkatai paima sahat tu sikkola, sabotulna mamereng jom nunga naeng tarlambat halaki. Sahat ma tu jolo sikkola dipataru halaki, alani nunga tarhapong be halaki, gabe humalaput ma na tuat sian mobil on, ndang dibereng si Jogi be nunga hait salaoar na tu pintu ni mobil i gabe maribak. Gabe ndang masuk be ibana tu kalas, alana nunga maila ibana berengon ni akka donganna annon."
bbc,"Sadari on ima acara parpisahan halulusan di sikola. Sude siswa dohot siswi haberengan sonang, ala alhamdulillah sude siswa dohot siswi lulus ndang marsyarat. Acara marlangsung mansai hidmat huhut adong rasa las ni roha sahaligus lungun. Las roha ala ujungna halak i pasaehon pendidikanna, jala lungun ala ingkon manadinghon sikola jala marsirang tu angka dongan. Dung sae acara, angka dongan mulak tu pindokna laho mandok ucapan selamat huhut hata parpisahan. Suasana haru dohot tangis pe ndang tarpasiding. Ala martaon-taon halak i rampak torus dibagas sada atap jala saonari ingkon marsirang laho mandungdung cita-citana be. Ima lungunna molo parpisahan, ingkon boi do mamulai mangalului dongan na imbaru alai ndang lupa tu dongan na leleng."
bbc,"Molo hita mancukur bulu ni pat ni hita i doppak kadaaan kulit ni hita i hiang, mambaen kulit ni hita i manjadi lobih hiang. Harana mangalakuon pancukuran bulu ni pat ni hita inda adong krim na mangalembut kon bisa do i mambaen kulit ni hita i manjadi lobih hiang. Salain i mamagoon obuk, konidis on juo dapot mambaen kulit ni hita manjadi tarkalupas. Makana akkon hita pake ma palembut na aso mangalanditkon kulit ni hita i, molo madung landit kulit ni hita i, proses mancukur bulu ni pat ni hita i manjadi deges, mambaen palembab juo mangurangi resiko kulit ni hita manjadi iritasi."
